Nr.;EAN;Beschreibung;Beschreibung 2;Hersteller Kurzbeschreibung;Lagerbestand;cena
15211633;8903635012122;REIFEN 12.5 / 80 - 15.3;14 PR, 148 A6 / 144 A8, TL, 320 VALUE PLUS;ALLIANCE;54;356,130952
15211646;8903635009399;REIFEN 33 x 15.50 - 15;8 PR, 124 B, TL, GRASSLAND FLOTATION 221;ALLIANCE;10;587,059524
15211647;8903635000013;REIFEN 31 x 15.50 - 15;8 PR, 118 A8 / 116 B, TL, GRASSLAND FLOTATION 221;ALLIANCE;;
15211654;;;;;;
15211656;7291050001922;REIFEN 400 / 60 - 15.5;14 PR, 153 A2 / 145 A8, TL, FORESTRY 328;ALLIANCE;;
15211664;8903635012290;REIFEN 400 / 60 - 15.5;16 PR, 152 A6 / 148 A8, TL, 320 VALUE PLUS;ALLIANCE;23;535,797619
15211666;8903635008941;REIFEN 360 / 65 - 16;150 A8, TL, FARMPRO 327;ALLIANCE;21;501,357143
15211667;8903635004318;REIFEN 340 / 55 - 16;12 PR, 133 A8 / 129 B, TL, FARMPRO 327;ALLIANCE;;
15211677;8903635005902;REIFEN 500 / 50 - 17;14 PR, 149 A8 / 145 B, TL, FARMPRO 327;ALLIANCE;;
15211683;8903635010425;REIFEN 380 / 55 - 17;12 PR, 138 A8, TL, FARMPRO 327;ALLIANCE;11;516,369048
15211687;8903635020660;REIFEN 15.0 / 55 - 17;14 PR, 141 A6, TL, 320 VALUE PLUS;ALLIANCE;61;538,416667
15211689;8903635020646;REIFEN 500 / 50 - 17;14 PR, 153 A6, TL, 320 VALUE PLUS;ALLIANCE;25;712,440476
15212250;7291050039222;REIFEN 400 / 55 - 17.5;16 PR,149 A8 / 145 B, TL, FLOTATION 328;ALLIANCE;1;1383,309524
15212311;8903635019527;REIFEN 10.5 / 80 - 18;10 PR, 135 A6, TL, 320 VALUE PLUS;ALLIANCE;4;409,702381
15212315;8903635007401;REIFEN 12.0 / 75 - 18;12 PR, 139 A6 / 135 A8, TT, 317 (SPACER);ALLIANCE;1;705,464286
15212337;8903635020653;REIFEN 12.5 / 80 - 18;16 PR, 152 A6, TL, 320 VALUE PLUS;ALLIANCE;7;580,654762
15212405;8903635001904;REIFEN 15.0 / 70 - 18;16 PR, 151 A8 / 147 B, TL, AW, 320;ALLIANCE;9;756,880952
15212485;8903635002505;REIFEN 16.0 / 70 - 20;14 PR, 154 A8 / 150 B, TT, AW 320;ALLIANCE;;
15212555;7291050065375;REIFEN 400 / 60 - 15.5;20 PR, 159 A2 / 152 A8, TL, FORESTRY 328;ALLIANCE;3;1270,714286
15212559;8903635010227;REIFEN 500 / 55 - 20;12 PR, 155 A8 / 151 B, TL, FARMPRO 327;ALLIANCE;1;1631,107143
15212563;7291050012423;REIFEN 500 / 45 - 20;12 PR, 147 A8 / 144 B, TL, FLOTATION  331;ALLIANCE;9;2245,690476
15212565;7291050012553;REIFEN 500 / 45 - 20;18 PR, 164 A6 / 160 A8, TL, FLOTATION 331;ALLIANCE;4;2496,952381
15212567;7291050048231;REIFEN 500 / 50 - 20;16 PR, 149 A8 / 145 B, TL, FLOTATION 331;ALLIANCE;4;2143,190476
15212575;8903635002598;REIFEN 500 / 45 - 22.5;16 PR, 154 A8 / 150 B, TL FLOTATION 328;ALLIANCE;1;1216,238095
15212577;8903635002659;REIFEN 500 / 60 - 22.5;16 PR, 163 A8 / 159 B, TL, FLOTATION 328;ALLIANCE;6;1532,035714
